NOTIFICATION_REFERENCE,NOTIF_DATE,ORIGIN_COUNTRY_DESC,NOTIFYNG_COUNTRY_DESC,PRODUCT_NAME,PRODUCT_CATEGORY_DESC,HAZARD_CATEGORY_NAME,substance,unauthorised_flag,NOTIFICATION_CLASSIFICAT_DESC,NOTIFICATION_BASIS_DESC,RISK_DECISION_DESC,DISTRIBUTION_STATUS_DESC,NOTIF_SUBJECT
2026.8076,2026-09-11,Türkiye,Bulgaria,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,acetamiprid   - {pesticide residues},acetamiprid,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Acetamiprid in fresh peppers from Türkiye
2026.8075,2026-09-11,India,Romania,stafide aurii,fruits and vegetables,carbendazim   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** profenofos  unauthorised substance - {pesticide residues},carbendazim,False,information notification for attention,consumer complaint,potentially serious,no distribution from notifying country,Depasire LMA de pesticide in stafide aurii origine India ////  Exceeding of MRL for pesticides in golden raisins or. india
2026.8075,2026-09-11,India,Romania,stafide aurii,fruits and vegetables,carbendazim   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** profenofos  unauthorised substance - {pesticide residues},chlorpyrifos,True,information notification for attention,consumer complaint,potentially serious,no distribution from notifying country,Depasire LMA de pesticide in stafide aurii origine India ////  Exceeding of MRL for pesticides in golden raisins or. india
2026.8075,2026-09-11,India,Romania,stafide aurii,fruits and vegetables,carbendazim   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** profenofos  unauthorised substance - {pesticide residues},cypermethrin,False,information notification for attention,consumer complaint,potentially serious,no distribution from notifying country,Depasire LMA de pesticide in stafide aurii origine India ////  Exceeding of MRL for pesticides in golden raisins or. india
2026.8075,2026-09-11,India,Romania,stafide aurii,fruits and vegetables,carbendazim   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** profenofos  unauthorised substance - {pesticide residues},imidacloprid,False,information notification for attention,consumer complaint,potentially serious,no distribution from notifying country,Depasire LMA de pesticide in stafide aurii origine India ////  Exceeding of MRL for pesticides in golden raisins or. india
2026.8075,2026-09-11,India,Romania,stafide aurii,fruits and vegetables,carbendazim   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** profenofos  unauthorised substance - {pesticide residues},profenofos,True,information notification for attention,consumer complaint,potentially serious,no distribution from notifying country,Depasire LMA de pesticide in stafide aurii origine India ////  Exceeding of MRL for pesticides in golden raisins or. india
2026.7943,2026-09-09,Egypt,Austria,Honigmango /// honey mango,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** imidacloprid   - {pesticide residues},acetamiprid,False,information notification for attention,official control on the market,potentially serious,distribution restricted to notifying country,Unauthorised pesticides in mangoes from Egypt
2026.7943,2026-09-09,Egypt,Austria,Honigmango /// honey mango,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** imidacloprid   - {pesticide residues},chlorpyrifos,True,information notification for attention,official control on the market,potentially serious,distribution restricted to notifying country,Unauthorised pesticides in mangoes from Egypt
2026.7943,2026-09-09,Egypt,Austria,Honigmango /// honey mango,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** imidacloprid   - {pesticide residues},clothianidin,False,information notification for attention,official control on the market,potentially serious,distribution restricted to notifying country,Unauthorised pesticides in mangoes from Egypt
2026.7943,2026-09-09,Egypt,Austria,Honigmango /// honey mango,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** imidacloprid   - {pesticide residues},cyfluthrin,False,information notification for attention,official control on the market,potentially serious,distribution restricted to notifying country,Unauthorised pesticides in mangoes from Egypt
2026.7943,2026-09-09,Egypt,Austria,Honigmango /// honey mango,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** imidacloprid   - {pesticide residues},imidacloprid,False,information notification for attention,official control on the market,potentially serious,distribution restricted to notifying country,Unauthorised pesticides in mangoes from Egypt
2026.7898,2026-09-08,Türkiye,Bulgaria,"Whole tomatoes, with greatest diameter of less than 47 mm",fruits and vegetables,etoxazole   - {pesticide residues} *** indoxacarb   - {pesticide residues},etoxazole,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Etoxazole and Indoxacarb in fresh tomatoes from Türkiye
2026.7898,2026-09-08,Türkiye,Bulgaria,"Whole tomatoes, with greatest diameter of less than 47 mm",fruits and vegetables,etoxazole   - {pesticide residues} *** indoxacarb   - {pesticide residues},indoxacarb,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Etoxazole and Indoxacarb in fresh tomatoes from Türkiye
2026.7899,2026-09-08,Türkiye,Bulgaria,Sweet peppers,fruits and vegetables,acetamiprid   - {pesticide residues},acetamiprid,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Acetamiprid in fresh peppers from Türkiye
2026.7869,2026-09-07,Egypt,Germany,Mangoes,fruits and vegetables,cyfluthrin   - {pesticide residues},cyfluthrin,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Cyfluthrin in mangoes from Egypt
2026.7781,2026-09-03,Türkiye,Bulgaria,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,formetanate   - {pesticide residues},formetanate,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Formetanate in fresh peppers from Türkiye
2026.7744,2026-09-02,Türkiye,Bulgaria,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,formetanate   - {pesticide residues},formetanate,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Formetanate in fresh peppers from Türkiye
2026.7727,2026-09-01,India,Austria,Pitahaya,fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** pyraclostrobin   - {pesticide residues},acephate,True,information notification for attention,official control on the market,potentially serious,product traded online,"Unauthorised pesticides in pitahaya from India, via Germany"
2026.7727,2026-09-01,India,Austria,Pitahaya,fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** pyraclostrobin   - {pesticide residues},chlorpyrifos,True,information notification for attention,official control on the market,potentially serious,product traded online,"Unauthorised pesticides in pitahaya from India, via Germany"
2026.7727,2026-09-01,India,Austria,Pitahaya,fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** pyraclostrobin   - {pesticide residues},cypermethrin,False,information notification for attention,official control on the market,potentially serious,product traded online,"Unauthorised pesticides in pitahaya from India, via Germany"
2026.7727,2026-09-01,India,Austria,Pitahaya,fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** pyraclostrobin   - {pesticide residues},dithiocarbamates,False,information notification for attention,official control on the market,potentially serious,product traded online,"Unauthorised pesticides in pitahaya from India, via Germany"
2026.7727,2026-09-01,India,Austria,Pitahaya,fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** pyraclostrobin   - {pesticide residues},fluxapyroxad,False,information notification for attention,official control on the market,potentially serious,product traded online,"Unauthorised pesticides in pitahaya from India, via Germany"
2026.7727,2026-09-01,India,Austria,Pitahaya,fruits and vegetables,acephate  unauthorised substance - {pesticide residues} *** chlorpyrifos  unauthorised substance - {pesticide residues} *** cypermethrin   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** pyraclostrobin   - {pesticide residues},pyraclostrobin,False,information notification for attention,official control on the market,potentially serious,product traded online,"Unauthorised pesticides in pitahaya from India, via Germany"
2026.7662,2026-08-31,Egypt,Ireland,Mangos,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** clothianidin   - {pesticide residues} *** pyriproxyfen    - {pesticide residues},acetamiprid,False,border rejection notification,border control - consignment detained,potential risk,no distribution from notifying country,Pesticide residues on mangos/mangoes from Egypt
2026.7662,2026-08-31,Egypt,Ireland,Mangos,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** clothianidin   - {pesticide residues} *** pyriproxyfen    - {pesticide residues},chlorfenapyr,False,border rejection notification,border control - consignment detained,potential risk,no distribution from notifying country,Pesticide residues on mangos/mangoes from Egypt
2026.7662,2026-08-31,Egypt,Ireland,Mangos,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** clothianidin   - {pesticide residues} *** pyriproxyfen    - {pesticide residues},clothianidin,False,border rejection notification,border control - consignment detained,potential risk,no distribution from notifying country,Pesticide residues on mangos/mangoes from Egypt
2026.7662,2026-08-31,Egypt,Ireland,Mangos,fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** clothianidin   - {pesticide residues} *** pyriproxyfen    - {pesticide residues},pyriproxyfen,False,border rejection notification,border control - consignment detained,potential risk,no distribution from notifying country,Pesticide residues on mangos/mangoes from Egypt
2026.7683,2026-08-31,Türkiye,Netherlands,Sun-dried tomatoes diced,fruits and vegetables,chlorate  unauthorised substance - {pesticide residues},chlorate,True,alert notification,company's own check,serious,no distribution to other member countries,Pesticide residues in sun-dried tomatoes diced from Turkiye
2026.7534,2026-08-26,Morocco,Germany,green beans,fruits and vegetables,spiroxamine  - {pesticide residues},spiroxamine,False,information notification for attention,official control on the market,potential risk,product (presumably) no longer on the market,"Spiroxamine in green beans from Morocco, via Spain"
2026.7529,2026-08-26,Egypt,Denmark,grapes,fruits and vegetables,acetamiprid   - {pesticide residues},acetamiprid,False,information notification for attention,official control on the market,serious,product (presumably) no longer on the market,Acetamiprid in green seedless grapes from Egypt via the Netherlands
2026.7508,2026-08-25,Egypt,Italy,Mango,fruits and vegetables,dimethoate   - {pesticide residues},dimethoate,False,border rejection notification,border control - consignment detained,potentially serious,no distribution to other member countries,Dimethoate on mango
2026.7489,2026-08-25,Türkiye,Croatia,Horn peppars,fruits and vegetables,thiamethoxam   - {pesticide residues},thiamethoxam,False,border rejection notification,border control - consignment detained,no risk,product allowed to travel to destination under customs seals,Pesticide residues in horn peppers from Republic of  North Macedonia
2026.7502,2026-08-25,Türkiye,Croatia,Fresh peach,fruits and vegetables,etoxazole   - {pesticide residues},etoxazole,False,border rejection notification,border control - consignment detained,no risk,product allowed to travel to destination under customs seals,Etoxazole in peach from Turkey
2026.7449,2026-08-24,Kenya,Switzerland,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** fenpyroximate    - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues},acetamiprid,False,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,High results for pesticides for Peppers (Capsicum) from Kenya
2026.7449,2026-08-24,Kenya,Switzerland,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** fenpyroximate    - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues},chlorfenapyr,False,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,High results for pesticides for Peppers (Capsicum) from Kenya
2026.7449,2026-08-24,Kenya,Switzerland,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** fenpyroximate    - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues},fenpyroximate,False,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,High results for pesticides for Peppers (Capsicum) from Kenya
2026.7449,2026-08-24,Kenya,Switzerland,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,acetamiprid   - {pesticide residues} *** chlorfenapyr   - {pesticide residues} *** fenpyroximate    - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues},lambda-cyhalothrin,False,border rejection notification,border control - consignment detained,potential risk,product not (yet) placed on the market,High results for pesticides for Peppers (Capsicum) from Kenya
2026.7417,2026-08-21,Egypt,Italy,Frozen strawberries,fruits and vegetables,oxamyl  unauthorised substance - {pesticide residues},oxamyl,True,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Oxamyl on frozen strawberries
2026.7413,2026-08-21,Türkiye,Bulgaria,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,emamectin   - {pesticide residues} *** formetanate   - {pesticide residues} *** tebufenpyrad   - {pesticide residues},emamectin,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Emamectin Formetanate and  Tebufenpyrad in fresh peppers from Türkiye
2026.7413,2026-08-21,Türkiye,Bulgaria,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,emamectin   - {pesticide residues} *** formetanate   - {pesticide residues} *** tebufenpyrad   - {pesticide residues},formetanate,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Emamectin Formetanate and  Tebufenpyrad in fresh peppers from Türkiye
2026.7413,2026-08-21,Türkiye,Bulgaria,Peppers (other than sweet) (Capsicum spp.),fruits and vegetables,emamectin   - {pesticide residues} *** formetanate   - {pesticide residues} *** tebufenpyrad   - {pesticide residues},tebufenpyrad,False,border rejection notification,border control - consignment detained,serious,product not (yet) placed on the market,Emamectin Formetanate and  Tebufenpyrad in fresh peppers from Türkiye
2026.7390,2026-08-20,Egypt,Germany,mangoes,fruits and vegetables,chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** fenpropathrin  unauthorised substance - {pesticide residues} *** flonicamid   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** thiamethoxam   - {pesticide residues},chlorpyrifos,True,border rejection notification,border control - consignment detained,not serious,product not (yet) placed on the market,Pesticide residues in mangoes from Egypt
2026.7390,2026-08-20,Egypt,Germany,mangoes,fruits and vegetables,chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** fenpropathrin  unauthorised substance - {pesticide residues} *** flonicamid   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** thiamethoxam   - {pesticide residues},clothianidin,False,border rejection notification,border control - consignment detained,not serious,product not (yet) placed on the market,Pesticide residues in mangoes from Egypt
2026.7390,2026-08-20,Egypt,Germany,mangoes,fruits and vegetables,chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** fenpropathrin  unauthorised substance - {pesticide residues} *** flonicamid   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** thiamethoxam   - {pesticide residues},cyfluthrin,False,border rejection notification,border control - consignment detained,not serious,product not (yet) placed on the market,Pesticide residues in mangoes from Egypt
2026.7390,2026-08-20,Egypt,Germany,mangoes,fruits and vegetables,chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** fenpropathrin  unauthorised substance - {pesticide residues} *** flonicamid   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** thiamethoxam   - {pesticide residues},fenpropathrin,True,border rejection notification,border control - consignment detained,not serious,product not (yet) placed on the market,Pesticide residues in mangoes from Egypt
2026.7390,2026-08-20,Egypt,Germany,mangoes,fruits and vegetables,chlorpyrifos  unauthorised substance - {pesticide residues} *** clothianidin   - {pesticide residues} *** cyfluthrin   - {pesticide residues} *** fenpropathrin  unauthorised substance - {pesticide residues} *** flonicamid   - {pesticide residues} *** imidacloprid   - {pesticide residues} *** thiamethoxam   - {pesticide residues},flonicamid,False,border rejection notification,border control - consignment detained,not serious,product not (yet) placed on the market,Pesticide residues in mangoes from Egypt
